"Ridge","alpha.25","alpha.5","alpha.75","Lasso"
"Lambda",9085.34,59726.72,219057.16,368932.02,464419.69
"Estimation Error",0.79,0.77,0.73,0.69,0.67
"Prediction Error",0.82,0.81,0.81,0.81,0.82
"Correlation Score",0.41,0.42,0.42,0.41,0.4
"Non-zero coefficient",7.33,8.77,14.32,19.27,20.9
